"gid_imovel","gid_geom","gid_det","ic_imovel","cod_imovel","dominialid","origem","modalidade","geom"
4827,4825,NULL,243432414011300000,27772,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303613.62085945,7405828.729054156],[303607.564784817,7405815.148025078],[303605.565842325,7405810.879553872],[303605.525303067,7405810.792834442],[303588.854112454,7405823.301142117],[303591.731570068,7405826.750252629],[303591.930938698,7405826.989185018],[303601.040914924,7405838.154160564],[303613.62085945,7405828.729054156]]]}"
4963,4961,NULL,243432423006600000,27826,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303664.952277401,7405858.462454218],[303662.641730496,7405853.908812599],[303662.483966238,7405853.676750598],[303659.511728852,7405849.302912606],[303659.474085585,7405849.205930552],[303637.499559799,7405858.896642782],[303637.596901528,7405859.115049079],[303638.53261381,7405861.214424415],[303641.458156832,7405867.799138591],[303641.819166716,7405868.599831553],[303664.952277401,7405858.462454218]]]}"
4964,4962,NULL,243432423010400000,29530,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303677.681844947,7405905.41540504],[303683.819700238,7405901.326244337],[303685.961779368,7405894.025616528],[303678.118308541,7405882.896109347],[303653.446343943,7405893.607568681],[303653.553632112,7405893.762304919],[303653.709551391,7405893.987142388],[303656.45896266,7405896.89419865],[303663.735447914,7405902.158040599],[303667.326850251,7405904.723648917],[303670.068828408,7405905.684620528],[303674.019475568,7405905.968316686],[303677.681844947,7405905.41540504]]]}"
4965,4963,NULL,243432423007600000,27827,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303670.386958096,7405868.89641816],[303666.55747024,7405861.87340454],[303666.31239678,7405861.352732414],[303664.952277401,7405858.462454218],[303641.819166716,7405868.599831553],[303646.109217533,7405878.113652581],[303646.595415035,7405879.274685672],[303670.386958096,7405868.89641816]]]}"
4966,4964,NULL,243432423005500000,27825,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303659.474085585,7405849.205930552],[303658.581735338,7405846.905204512],[303655.470165561,7405839.449473425],[303633.256503882,7405849.377353355],[303633.318224097,7405849.515752159],[303637.499559799,7405858.896642782],[303659.474085585,7405849.205930552]]]}"
4976,4974,NULL,243432423002400000,27822,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303645.345203829,7405815.219670856],[303643.289688203,7405810.38829957],[303620.326763292,7405820.650421232],[303622.516629189,7405825.507516377],[303645.345203829,7405815.219670856]]]}"
39306,39304,NULL,243432423003400000,27823,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303651.35542213,7405829.726980826],[303651.199183996,7405829.35769674],[303647.742691825,7405821.190653916],[303647.396527172,7405820.372768538],[303624.684264657,7405830.315132904],[303628.960870884,7405839.800757254],[303651.35542213,7405829.726980826]]]}"
39319,39317,NULL,243432423004500000,27824,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303655.470165561,7405839.449473425],[303651.35542213,7405829.726980826],[303628.960870884,7405839.800757254],[303631.335962661,7405845.068617094],[303633.256503882,7405849.377353355],[303655.470165561,7405839.449473425]]]}"
39320,39318,NULL,243432425025100000,9399,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303691.622147705,7405843.994683905],[303691.623760094,7405843.981080892],[303693.196583923,7405827.998455148],[303693.198838808,7405827.975002309],[303693.220908934,7405827.79164264],[303651.199183996,7405829.35769674],[303651.35542213,7405829.726980826],[303655.470165561,7405839.449473425],[303658.581735338,7405846.905204512],[303691.622147705,7405843.994683905]]]}"
39380,39378,NULL,243432414012800000,27795,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303605.525303067,7405810.792834442],[303602.145276804,7405803.575311331],[303592.504204266,7405811.102317041],[303584.095007522,7405817.667462865],[303588.623361802,7405823.024461478],[303588.854112454,7405823.301142117],[303605.525303067,7405810.792834442]]]}"
41033,41031,NULL,243432414005500000,27793,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303591.731570068,7405826.750252629],[303588.854112454,7405823.301142117],[303588.623361802,7405823.024461478],[303584.095007522,7405817.667462865],[303579.788678354,7405821.029481064],[303579.618580646,7405821.162346754],[303566.506840596,7405831.637940805],[303566.5772962,7405831.688506331],[303566.794129054,7405831.844152808],[303571.680794291,7405835.663378813],[303576.506876181,7405838.884418396],[303591.731570068,7405826.750252629]]]}"
41034,41032,NULL,243432423001700000,35587,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303643.289688203,7405810.38829957],[303641.132453162,7405805.71241792],[303618.24652835,7405815.826248009],[303620.316735806,7405820.628355136],[303620.326763292,7405820.650421232],[303643.289688203,7405810.38829957]]]}"
41035,41033,NULL,243432414002000000,27792,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303579.618580646,7405821.162346754],[303579.788678354,7405821.029481064],[303568.19851009,7405808.490172142],[303568.109969149,7405808.599979583],[303568.074315841,7405808.644807698],[303566.659970983,7405810.420034429],[303556.039982515,7405819.67001872],[303555.293074921,7405820.307372831],[303554.762890251,7405821.338081682],[303554.703285946,7405822.173588854],[303554.892330736,7405823.246471941],[303556.813864859,7405824.679014546],[303566.506840596,7405831.637940805],[303579.618580646,7405821.162346754]]]}"
41036,41034,NULL,243432414000900000,27791,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303584.095007522,7405817.667462865],[303592.504204266,7405811.102317041],[303575.518974291,7405799.40811743],[303568.19851009,7405808.490172142],[303579.788678354,7405821.029481064],[303584.095007522,7405817.667462865]]]}"
41037,41035,NULL,243432414000100000,28106,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303602.145276804,7405803.575311331],[303602.118151936,7405803.517238592],[303600.395450686,7405799.838532706],[303598.709413587,7405796.988201055],[303588.297249794,7405790.642984051],[303587.226798134,7405790.085476538],[303586.268722379,7405789.844939074],[303584.723527575,7405789.786749041],[303583.07003098,7405790.040033665],[303575.518974291,7405799.40811743],[303592.504204266,7405811.102317041],[303602.145276804,7405803.575311331]]]}"
41869,41867,NULL,243432425030900000,35507,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303667.423637389,7405820.839620633],[303667.42363739,7405812.254034442],[303663.82363739,7405812.254034443],[303673.155399869,7405785.594400063],[303665.96389987,7405781.551600074],[303655.16179988,7405770.144600064],[303643.30713029,7405781.099154512],[303633.62147598,7405790.255864493],[303641.87569986,7405806.843100103],[303642.28729986,7405806.783200093],[303648.00569989,7405821.299100094],[303667.423637389,7405820.839620633]]]}"
41870,41868,NULL,243432425028600000,9402,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303695.17368077,7405812.254034165],[303696.64849987,7405799.116600083],[303696.519293154,7405798.521328315],[303696.349414526,7405797.936363269],[303696.139669988,7405797.364480343],[303695.89105468,7405796.808392864],[303695.604748176,7405796.270739222],[303695.282108869,7405795.754070342],[303694.924667538,7405795.260837588],[303694.534120087,7405794.793381129],[303694.112319483,7405794.353918837],[303693.661266988,7405793.944535766],[303693.18310264,7405793.567174256],[303692.680095118,7405793.223624716],[303692.154630967,7405792.915517136],[303691.609203281,7405792.644313352],[303691.04639987,7405792.411300102],[303678.83229988,7405787.959900081],[303673.155399871,7405785.594400073],[303663.82363739,7405812.254034453],[303667.423637389,7405812.254034452],[303695.17368077,7405812.254034165]]]}"
41871,41869,NULL,243432425027600000,9401,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303694.28119986,7405820.204100093],[303695.17364389,7405812.254034452],[303667.423637389,7405812.254034452],[303667.423637389,7405820.839620633],[303694.28119986,7405820.204100093]]]}"
42303,42301,NULL,243432423008800000,35424,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303678.118308541,7405882.896109347],[303673.815351094,7405875.089957264],[303673.738307543,7405874.951021796],[303670.503175753,7405869.109537775],[303670.386958096,7405868.89641816],[303646.595415035,7405879.274685672],[303646.745564059,7405879.633143894],[303649.321352859,7405885.784068105],[303651.337100935,7405890.257677343],[303652.3862903,7405892.07920815],[303653.446343943,7405893.607568681],[303678.118308541,7405882.896109347]]]}"
42377,42375,NULL,243432425018700000,9395,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303686.599497955,7405891.852210565],[303687.689960046,7405881.900919422],[303689.014267612,7405873.211856341],[303689.034958103,7405872.848590091],[303673.738307543,7405874.951021796],[303673.815351094,7405875.089957264],[303678.118308541,7405882.896109347],[303685.961779368,7405894.025616528],[303686.599497955,7405891.852210565]]]}"
42378,42376,NULL,243432425021600000,9396,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303689.034958103,7405872.848590091],[303689.568419592,7405863.487459477],[303689.917421746,7405859.836534043],[303689.961135108,7405859.379311082],[303666.31239678,7405861.352732414],[303666.55747024,7405861.87340454],[303670.386958096,7405868.89641816],[303670.503175753,7405869.109537775],[303673.738307543,7405874.951021796],[303689.034958103,7405872.848590091]]]}"
42429,42427,NULL,243432425000100000,9394,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303642.98066584,7405781.195535804],[303654.786017241,7405770.197554495],[303647.2022425,7405762.113195402],[303630.841439819,7405744.697113216],[303629.5824104,7405743.36835598],[303629.029759037,7405743.06677413],[303628.458051731,7405743.028899415],[303627.870430148,7405743.210798647],[303617.298416244,7405753.864456737],[303642.98066584,7405781.195535804]]]}"
42855,42853,NULL,243432425001500000,58591,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303633.488953303,7405790.038165055],[303642.98066584,7405781.195535804],[303617.298416244,7405753.864456737],[303616.22674172,7405754.944427589],[303592.362645806,7405779.173247218],[303592.595802123,7405781.044917751],[303607.465744141,7405791.495826453],[303611.157996314,7405799.393871635],[303611.215427163,7405799.516705681],[303611.235548756,7405799.563497237],[303633.488953303,7405790.038165055]]]}"
43090,43088,NULL,243432423002900000,30169,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303647.396527172,7405820.372768538],[303645.345203829,7405815.219670856],[303622.516629189,7405825.507516377],[303624.684264657,7405830.315132904],[303647.396527172,7405820.372768538]]]}"
43091,43089,NULL,243432423001300000,27821,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303641.132453162,7405805.71241792],[303639.527354075,7405802.34134153],[303638.89456142,7405801.030584945],[303616.162050485,7405810.990830043],[303618.24652835,7405815.826248009],[303641.132453162,7405805.71241792]]]}"
43092,43090,NULL,243432423000100000,27820,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303638.89456142,7405801.030584945],[303633.488953303,7405790.038165055],[303611.235548756,7405799.563497237],[303616.162050485,7405810.990830043],[303638.89456142,7405801.030584945]]]}"
43151,43149,NULL,243432425023600000,9397,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303689.961135108,7405859.379311082],[303690.670275914,7405851.96285261],[303690.689258957,7405851.804042348],[303662.483966238,7405853.676750598],[303662.641730496,7405853.908812599],[303664.952277401,7405858.462454218],[303666.31239678,7405861.352732414],[303689.961135108,7405859.379311082]]]}"
43152,43150,NULL,243432425024300000,9398,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303690.689258957,7405851.804042348],[303691.622147705,7405843.994683905],[303658.581735338,7405846.905204512],[303659.474085585,7405849.205930552],[303659.511728852,7405849.302912606],[303662.483966238,7405853.676750598],[303690.689258957,7405851.804042348]]]}"
43153,43151,NULL,243432414006700000,27794,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303601.040914924,7405838.154160564],[303591.930938698,7405826.989185018],[303591.731570068,7405826.750252629],[303576.506876181,7405838.884418396],[303576.706734927,7405839.017795015],[303577.002623085,7405839.21526017],[303578.852432751,7405840.539506638],[303588.531147219,7405847.703037237],[303601.040914924,7405838.154160564]]]}"
44800,44798,NULL,243432425026800000,9400,"Privado","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303693.186018459,7405828.058055136],[303694.281200884,7405820.204023744],[303648.005700885,7405821.299023747],[303651.266793868,7405829.566539211],[303669.312665804,7405828.836351044],[303693.186018459,7405828.058055136]]]}"
52365,52360,50895,NULL,NULL,"Público","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303588.736935879,7405847.553146686],[303588.7237706,7405847.54410935],[303591.616878382,7405849.775970314],[303594.510994053,7405852.008951774],[303602.544566168,7405857.775417093],[303608.508017356,7405861.825009171],[303614.471471731,7405865.87459858],[303619.398029939,7405869.58578611],[303624.325612402,7405873.296985442],[303629.147437845,7405877.351261031],[303630.275265006,7405877.691981391],[303631.257882134,7405877.579934344],[303632.347163519,7405877.21011303],[303632.795515419,7405876.161582934],[303633.236985264,7405873.715061086],[303632.626985991,7405870.260904023],[303632.108540192,7405868.675528238],[303627.956742581,7405860.978159685],[303623.805971425,7405853.280803228],[303621.21912389,7405847.706718986],[303618.681934652,7405842.240742819],[303616.149731204,7405835.483270436],[303613.606660144,7405828.697960066],[303588.736935879,7405847.553146686]]]}"
52367,52362,50897,NULL,NULL,"Público","Parcelamento","Loteamento","{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:31983""}},""coordinates"":[[[303670.257514894,7405868.770629144],[303646.516666263,7405879.087432155],[303649.321554263,7405885.784292328],[303650.329022366,7405888.020870037],[303651.337512619,7405890.257461294],[303652.386290294,7405892.079208143],[303653.409042033,7405893.553901697],[303678.126475381,7405882.812588094],[303678.066319511,7405882.725385499],[303676.922523615,7405880.824834128],[303675.778742821,7405878.923175158],[303671.294936305,7405870.677514817],[303670.257514894,7405868.770629144]]]}"
